id,class_id,user_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,1,11
12,2,12
13,3,13
14,4,14
15,5,15
16,6,16
17,7,17
18,8,18
19,9,19
20,10,20
21,1,21
22,2,22
23,3,23
24,4,24
25,5,25
26,6,26
27,7,27
28,8,28
29,9,29
30,10,30
31,1,31
32,2,32
33,3,33
34,4,34
35,5,35
36,6,36
37,7,37
38,8,38
39,9,39
40,10,40
41,1,41
42,2,42
43,3,43
44,4,44
45,5,45
46,6,46
47,7,47
48,8,48
49,9,49
50,10,50
51,1,51
52,2,52
53,3,53
54,4,54
55,5,55
56,6,56
57,7,57
58,8,58
59,9,59
60,10,60
61,1,61
62,2,62
63,3,63
64,4,64
65,5,65
66,6,66
67,7,67
68,8,68
69,9,69
70,10,70
71,1,71
72,2,72
73,3,73
74,4,74
75,5,75
76,6,76
77,7,77
78,8,78
79,9,79
80,10,80
81,1,81
82,2,82
83,3,83
84,4,84
85,5,85
86,6,86
87,7,87
88,8,88
89,9,89
90,10,90
91,1,91
92,2,92
93,3,93
94,4,94
95,5,95
96,6,2
97,6,12
98,4,33
99,4,43
100,11,101
101,12,102
102,13,103
103,14,104
104,15,105
105,16,106
106,17,107
107,18,108
108,19,109
109,20,110
110,11,111
111,12,112
112,13,113
113,14,114
114,15,115
115,16,116
116,17,117
117,18,118
118,19,119
119,20,120
120,11,121
121,12,122
122,13,123
123,14,124
124,15,125
125,16,126
126,17,127
127,18,128
128,19,129
129,20,130
130,11,131
131,12,132
132,13,133
133,14,134
134,15,135
135,16,136
136,17,137
137,18,138
138,19,139
139,20,140
140,11,141
141,12,142
142,13,143
143,14,144
144,15,145
145,16,146
146,17,147
147,18,148
148,19,149
149,20,150
150,11,151
151,12,152
152,13,153
153,14,154
154,15,155
155,16,156
156,17,157
157,18,158
158,19,159
159,20,160
160,11,161
161,12,162
162,13,163
163,14,164
164,15,165
165,16,166
166,17,167
167,18,168
168,19,169
169,20,170
170,11,171
171,12,172
172,13,173
173,14,174
174,15,175
175,16,176
176,17,177
177,18,178
178,19,179
179,20,180
180,11,181
181,12,182
182,13,183
183,14,184
184,15,185
185,16,186
186,17,187
187,18,188
188,19,189
189,20,190
190,11,191
191,12,192
192,13,193
193,14,194
194,15,195
195,16,102
196,16,112
197,14,133
198,14,143
